Price[1000Eur],City,Brand,Body,1000Km,Power[HP],Year,Gas,Transmission,Seller,Owners,Warranty
34.6,1,0,3,28.0,150,7,0,0,1,1,2
36.89,1,0,3,4.86,150,9,1,0,0,0,2
32.95,1,0,3,128.37,286,5,1,0,0,0,2
31.92,1,0,3,26.0,150,8,1,0,0,1,2
38.6,1,0,3,15.0,150,8,0,0,1,1,2
33.93,1,0,3,0.01,150,10,0,0,0,0,2
34.247,1,0,3,67.935,190,6,1,0,0,0,2
36.5,1,0,3,82.0,313,2,1,0,1,1,2
39.203,1,0,3,0.01,150,10,0,0,0,0,2
36.84,1,0,3,45.0,190,7,0,0,0,0,2
34.847,1,0,3,70.17699999999999,190,6,1,0,0,0,2
32.88,1,0,3,12.8,150,9,1,0,0,0,2
