City,Brand,Body,Price[1000Eur],1000Km,Power[HP],Year,Gas,Transmission,Seller,Owners,Warranty,URL
münchen,bmw,kombi,14.970,138.887,116,2018,Diesel,Schaltgetriebe,Händler,1,24 Monate,https://www.autoscout24.de/angebote/bmw-316-d-touring-led-navi-bus-tempomat-diesel-silber-c1dec2d3-a6ec-4769-915d-b2bcb0a8e316
münchen,bmw,kombi,13.000,150.0,150,2016,Diesel,Schaltgetriebe,Privat,,nan,https://www.autoscout24.de/angebote/bmw-218-218d-active-tourer-diesel-schwarz-36d4cd5d-6bee-41bd-abe8-2ec336e0f442
münchen,bmw,kombi,11.900,187.3,143,2013,Diesel,-,Privat,,nan,https://www.autoscout24.de/angebote/bmw-318-d-touring-f31-ahk-automatik-diesel-grau-426639bd-1236-40b1-b625-0d5d11a61c5c
münchen,bmw,kombi,14.900,151.0,190,2015,Diesel,Automatik,Privat,3,nan,https://www.autoscout24.de/angebote/bmw-220-220d-active-tourer-aut-diesel-rot-49b5b69a-c74a-4769-b9a8-252a1d4d9f35
münchen,bmw,kombi,11.400,150.0,143,2014,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-318-318d-touring-efficient-dynamics-xenon-navi-shz-diesel-silber-72e4fcc1-76f9-4302-aa3f-815b2622ad21
münchen,bmw,kombi,11.400,175.0,163,2014,Diesel,Schaltgetriebe,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-320-d-touring-efficientdynamics-edition-navi-prof-diesel-grau-6e32a093-aea6-4afb-8e7f-ec0bf38c1d4f
münchen,bmw,kombi,12.500,155.0,143,2014,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-318-318d-touring-sport-line-diesel-schwarz-b61e3041-b942-42e9-bcbf-c728934f4351
münchen,bmw,kombi,14.900,174.316,190,2017,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-320-d-touring-steptronic-navi-led-euro6-diesel-schwarz-163abc48-4f8a-4292-9b2a-04e3e95a4b20
münchen,bmw,kombi,13.450,183.87,190,2016,Diesel,Schaltgetriebe,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-320-d-touring-advantage-panorama-led-euro6-diesel-schwarz-df49b483-3a5f-4f44-90a0-cf725f54eee5
münchen,bmw,kombi,13.900,280.0,258,2016,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-330-d-luxury-line-automatik-kamera-euro6-diesel-weiss-72ec23aa-8686-4f7e-b2d0-fca7d688f33a
münchen,bmw,kombi,12.950,216.5,190,2015,Diesel,Schaltgetriebe,Händler,,nan,https://www.autoscout24.de/angebote/bmw-320-baureihe-3-touring-320d-sport-line-navi-leder-diesel-grau-731448c3-c936-4d01-aaa3-2e91f9eb516b
münchen,bmw,kombi,12.600,172.0,143,2013,Diesel,Automatik,Privat,,nan,https://www.autoscout24.de/angebote/bmw-318-318d-touring-aut-diesel-grau-19db8c8e-257b-4f2a-9dae-14d8b2dda536
münchen,bmw,kombi,14.990,194.0,190,2016,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-320-320d-touring-aut-sport-line-navi-leder-braun-eu6-diesel-schwarz-c924033c-7c6b-4c43-9c08-26302b0a47bd
münchen,bmw,kombi,12.000,213.0,190,2014,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-520-520d-touring-diesel-grau-0d47ba17-1cd1-415b-b575-b2f531f572b6
münchen,bmw,kombi,12.900,112.0,116,2017,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-216-216d-gran-tourer-advantage-diesel-rot-fd5793d0-5fcb-47ad-9ada-5ebf8ca5ab80
münchen,bmw,kombi,12.000,164.5,150,2015,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-218-218d-active-tourer-sport-line-diesel-rot-2fc2f82d-f93e-4fd1-a551-1bda4d5f4b87
münchen,bmw,kombi,13.490,199.0,184,2013,Diesel,Automatik,Privat,3,nan,https://www.autoscout24.de/angebote/bmw-320-320d-aut-ahk-scheckheft-xenon-diesel-weiss-4beb844b-ef34-440c-8d26-543eea05f1d2
münchen,bmw,kombi,11.000,206.0,150,2015,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-218-2er-active-tourer-218d-active-tourer-sport-aut-diesel-weiss-d9da1ff4-6e06-4129-bc7d-7424e45220a5
münchen,bmw,kombi,10.990,276.7,218,2013,Diesel,Automatik,Händler,,nan,https://www.autoscout24.de/angebote/bmw-525-baureihe-5-touring-525d-diesel-grau-54f4fb6c-3eef-4ce8-9a22-911efeb69ece
münchen,bmw,kombi,12.450,309.001,258,2016,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-330-d-xdrive-sport-line-panorama-head-up-led-navi-diesel-schwarz-951cdd05-93fa-4f92-82cc-c665ac6db015
münchen,bmw,kombi,13.450,206.0,190,2015,Diesel,Automatik,Privat,,nan,https://www.autoscout24.de/angebote/bmw-220-220d-active-tourer-aut-advantage-diesel-blau-64159c59-d4ca-4228-8f51-38f34b245d17
münchen,bmw,kombi,10.850,266.121,258,2013,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/bmw-530-d-touring-f11-diesel-schwarz-9c710bf6-508c-4a4b-9efa-c88e88b018bf
münchen,bmw,kombi,10.999,298.0,245,2013,Benzin,Automatik,Händler,3,nan,https://www.autoscout24.de/angebote/bmw-328-touring-328i-aut-pano-xenon-leder-benzin-grau-56b44f46-7662-45ed-a1d2-4ec9b982710a
münchen,bmw,kombi,14.900,118.8,136,2016,Benzin,Schaltgetriebe,Privat,1,nan,https://www.autoscout24.de/angebote/bmw-218-218i-gran-tourer-advantage-benzin-schwarz-d57c6262-9917-406f-a29b-5c75ec928bf8
münchen,bmw,kombi,13.990,284.378,258,2015,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/bmw-530-baureihe-5-touring-530d-xdrive-diesel-schwarz-7a70f542-3109-4dc7-8b17-7d4f73b88482
münchen,bmw,kombi,13.500,214.45,150,2015,Diesel,Automatik,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-318-318d-aut-diesel-schwarz-9a88bf2a-19c9-4728-9737-d0dcfb61dfd3
münchen,bmw,kombi,14.870,238.833,190,2016,Diesel,Automatik,Händler,,nan,https://www.autoscout24.de/angebote/bmw-520-navi-klima-automatik-pdc-diesel-schwarz-4f53adf7-8226-4b11-8d36-b67a4e962b97
münchen,bmw,kombi,10.999,181.0,116,2013,Diesel,Schaltgetriebe,Privat,3,nan,https://www.autoscout24.de/angebote/bmw-316-316d-touring-sport-line-diesel-schwarz-ba5f7d9b-79a0-4c14-9448-0f168b82c6cb
münchen,bmw,kombi,14.870,147.397,116,2018,Diesel,Schaltgetriebe,Händler,1,24 Monate,https://www.autoscout24.de/angebote/bmw-316-d-touring-led-navi-bus-tempomat-diesel-silber-a1e4c905-4811-4fff-b395-9e6c8a0e7d76
münchen,bmw,kombi,14.500,218.0,163,2016,Diesel,Automatik,Privat,1,nan,https://www.autoscout24.de/angebote/bmw-320-320d-touring-aut-efficient-dynamics-edition-advan-diesel-schwarz-a17c2331-2be0-429f-bd7e-dd1b62b1d27a
münchen,bmw,kombi,11.499,193.0,150,2015,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-218-218d-gran-tourer-adv-navi-l-shz-l-pdc-l-2-hand-diesel-grau-f3d7c051-92d7-4166-8825-52461ed489ca
münchen,bmw,kombi,14.990,241.759,190,2017,Diesel,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-320-3-touring-320d-xdrive-sport-line-leder-led-ahk-diesel-schwarz-2b731abf-4a56-4e59-9cc9-8c235fe1eff1
münchen,bmw,kombi,12.490,220.0,184,2014,Diesel,Automatik,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-320-320d-touring-aut-luxury-line-diesel-silber-24677d6b-d1fd-468c-94d7-95c823924297
münchen,bmw,kombi,10.980,225.3,116,2016,Diesel,Automatik,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-216-216d-active-tourer-aut-diesel-schwarz-4f3a6476-a01f-4340-baba-a784668eee4e
münchen,bmw,kombi,11.200,218.0,150,2016,Diesel,Automatik,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-318-318d-touring-aut-diesel-silber-1d7befc2-469e-4a52-bb9d-8b5fa76eabeb
münchen,bmw,kombi,13.400,160.0,143,2013,Diesel,Schaltgetriebe,Privat,,nan,https://www.autoscout24.de/angebote/bmw-318-touring-euro5-dtf-diesel-grau-dfd56f9f-90d7-41b2-94f2-62e22e0c2903
münchen,bmw,kombi,13.990,81.0,136,2013,Benzin,Schaltgetriebe,Händler,,Ja,https://www.autoscout24.de/angebote/bmw-316-i-touring-hu-neu-inspektion-neu-benzin-weiss-0fc6d351-9f68-4c10-b9f2-3e26cd0f4f65
münchen,bmw,kombi,10.700,265.0,163,2013,Diesel,Automatik,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-320-320d-touring-navi-auto-shz-xenon-leder-keylessgo-diesel-grau-a4055e92-6f2c-4694-b8b6-d48baedc152d
münchen,bmw,kombi,14.900,233.0,313,2013,Diesel,Automatik,Privat,3,nan,https://www.autoscout24.de/angebote/bmw-535-535d-xdrive-touring-sport-aut-modern-line-diesel-silber-ac032c96-0727-41b9-8886-a4645855be9c
münchen,bmw,kombi,12.999,160.0,150,2016,Diesel,Automatik,Händler,2,Ja,https://www.autoscout24.de/angebote/bmw-318-d-automatik-navi-euro-6-noch3-stueck-vorhanden-diesel-silber-1dba58db-b595-4cd4-b838-af5f508015df
münchen,bmw,kombi,12.300,135.5,116,2018,Diesel,Schaltgetriebe,Privat,2,nan,https://www.autoscout24.de/angebote/bmw-216-216d-active-tourer-diesel-bb7a1150-d634-4450-a6b8-a69022dab059
