City,Brand,Body,Price,1000Km,Power,Year,Gas,Transmission,Seller,Owners,Warranty,URL
münchen,skoda,kombi,36.880,17.3,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-sportline-2-0-tdi-pano-matrix-18-diesel-grau-58ef02db-2556-4d6d-ad8e-096c61c92b13
münchen,skoda,kombi,36.270,24.1,200,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-2-0-tdi-pano-led-nav-18-diesel-grau-bff4c23f-b233-4ed5-a1c6-cab7a009aca8
münchen,skoda,kombi,31.750,29.49,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-dsg-navi-led-ahk-diesel-weiss-49dfc79a-193b-435f-ab48-1603faa1f719
münchen,skoda,kombi,35.490,18.7,150,2022,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-superb-combi-1-5-tsi-dsg-4j-gar-r-kam-navi-acc-benzin-schwarz-d21d2c14-6d25-485c-bb1f-a2d9eb520456
münchen,skoda,kombi,33.272,64.0,272,2019,Benzin,Automatik,Privat,,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tsi-4x4-dsg-sportline-benzin-schwarz-d3e4b5b3-2ac2-4ddb-b51d-76a41cacff9e
münchen,skoda,kombi,,0.05,150,2022,Diesel,Automatik,Händler,,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-opf-tour-dsg-led-app-navi-diesel-silber-68ec43b8-70f6-4796-904d-18d4be1d0ad5
münchen,skoda,kombi,32.990,0.1,150,2023,Benzin,Schaltgetriebe,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-1-5-tsi-style-matrix-acc-vir-c-pdc-benzin-grau-6fc0143c-97a0-4102-abdf-f887476b609b
münchen,skoda,kombi,32.110,23.777,150,2022,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-1-5-tsi-e-tec-ambition-vorb-ahk-digi-tacho-benzin-schwarz-5d6cac3d-8f49-4d41-a0b4-6331529566f4
münchen,skoda,kombi,39.990,0.02,116,2023,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-style-diesel-weiss-bc63ea7e-ede4-4023-b8b9-b3551c14abec
münchen,skoda,kombi,30.600,25.904,150,2021,Benzin,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-1-5-tsi-led-navi-gra-17-benzin-grau-f1b0623f-4490-4df3-b64e-406eef3a72d4
münchen,skoda,kombi,35.770,27.4,200,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-2-0-tdi-pano-led-nav-18-diesel-schwarz-8d6e591f-c124-4a22-82f8-1491401e7868
münchen,skoda,kombi,32.740,15.6,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-tour-2-0-tdi-dsg-matrix-navi-tel-diesel-schwarz-47635d01-7205-46eb-8e91-aca947ad303b
münchen,skoda,kombi,32.990,0.1,150,2023,Benzin,Schaltgetriebe,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-1-5-tsi-style-matrix-vir-c-acc-pdc-benzin-grau-823d6285-fb22-4ac8-8a53-77fe089def9e
münchen,skoda,kombi,32.990,0.1,150,2023,Benzin,Schaltgetriebe,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-1-5-tsi-style-matrix-ahk-acc-pdc-benzin-grau-fc62465c-3281-426e-bad2-ef02e82e5341
münchen,skoda,kombi,31.879,50.0,204,2020,Elektro/Benzin,-,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-1-4-tsi-dsg-style-head-up-led-elektro-benzin-grau-8daea26a-aa8b-47db-91e9-2b97dcdcdf81
münchen,skoda,kombi,36.270,26.4,200,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-2-0-tdi-pano-led-nav-18-diesel-schwarz-14402466-99c5-4d12-89a4-57d200c26516
münchen,skoda,kombi,36.688,0.01,150,2023,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tdi-150-dsg-amb-led-nav-kam-pdc-diesel-silber-f9f12fd3-c09e-4808-85ce-38160cb23884
münchen,skoda,kombi,32.990,79.0,190,2020,Diesel,Automatik,Händler,3,Ja,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tdi-dsg-ambition-led-acc-ahk-diesel-schwarz-883a1182-aca6-4042-82fc-bdf15e998b2b
münchen,skoda,kombi,37.488,0.01,150,2023,Diesel,Schaltgetriebe,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tdi-150-style-alcantara-led-vic-diesel-weiss-aed5d637-925b-4152-b1b7-83221b8f0adc
münchen,skoda,kombi,32.900,73.5,280,2018,Benzin,Automatik,Privat,2,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tsi-4x4-dsg-l-k-benzin-grau-244e6f12-26f8-4d46-b4d4-5743565a1b8a
münchen,skoda,kombi,32.700,18.637,150,2022,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-opf-tour-dsg-app-led-acc-navi-shz-ga-diesel-schwarz-8abe7525-d11a-4826-9b36-f7e691567461
münchen,skoda,kombi,32.890,12.61,150,2022,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-ambition-dsg-ahk-vorb-navi-dab-vze-led-acc-diesel-grau-09b74f9c-a96f-49f9-9922-cc57a33b3309
münchen,skoda,kombi,30.470,32.665,190,2020,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-superb-combi-style-2-0-tdi-dsg-led-navi-klima-lm-diesel-grau-1c7785e2-0812-4f2c-be10-09ccdd16a6f8
münchen,skoda,kombi,34.970,15.8,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-sportline-2-0-tdi-pano-matrix-18-diesel-schwarz-74a3cb02-5730-4e05-8cf3-970e9f838427
münchen,skoda,kombi,32.410,21.8,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-2-0tdi-dsg-led-virtual-16-diesel-weiss-68278ef1-1eec-4011-818d-a6f1cb38875b
münchen,skoda,kombi,39.870,3.2,245,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-2-0tsi-dsg-pano-led-virtual-18-benzin-weiss-e829eb0d-2adf-46a0-9629-2a34925c350f
münchen,skoda,kombi,39.288,0.01,245,2023,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-tsi-245-dsg-rs-matrix-nav-virc-kam-benzin-grau-0d7c88f9-185b-41b9-ba7d-8b23c73197a8
münchen,skoda,kombi,31.830,26.2,150,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-ambition-1-5-tsi-etec-dsg-navi-benzin-weiss-cfa568c9-e601-4194-ba73-b6b42ce8e30d
münchen,skoda,kombi,33.880,18.2,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-2-0tdi-dsg-led-virtual-16-diesel-schwarz-0bcc5e8c-dbd9-4ca3-bb8b-3e09a0d78916
münchen,skoda,kombi,31.290,27.132,150,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-dsg-ahk-vorb-navi-dab-led-tempomat-benzin-schwarz-221513d9-ad63-485e-9139-97b2217cd457
münchen,skoda,kombi,31.490,35.0,200,2021,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-superb-combi-ambition-dsg-ahk-vorb-navi-dab-vze-acc-smar-diesel-schwarz-d2dc3766-1219-43b1-9da9-7ab41e4e48d6
münchen,skoda,kombi,39.620,23.2,245,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-tsi-dsg-matrix-acc-navi-hdup-benzin-schwarz-a87a7b2e-cceb-4a69-84d9-5494727f10da
münchen,skoda,kombi,35.900,0.1,150,2022,Benzin,Schaltgetriebe,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-octavia-4-combi-1-5-tsi-style-navi-ahk-matrix-benzin-weiss-2d5bfed1-633f-42d2-a44a-628a13415d0f
münchen,skoda,kombi,31.390,23.915,150,2022,Benzin,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-superb-ambition-dsg-ahk-vorb-navi-dab-vze-led-acc-smartl-benzin-schwarz-1d724251-5b90-49a7-a442-976320cefad3
münchen,skoda,kombi,39.880,19.4,245,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-rs-tsi-dsg-matrix-navi-acc-hdup-benzin-schwarz-0bcae557-f55d-483b-914e-a919fcedb4b0
münchen,skoda,kombi,34.310,16.1,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-sportline-2-0-tdi-dsg-led-hdup-18-diesel-grau-2de8d4d1-2795-4b23-b989-7164c3d4c536
münchen,skoda,kombi,37.380,27.2,190,2022,Benzin,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-superb-combi-style-tsi-dsg-pano-led-navi-acc-benzin-schwarz-e2a7fc08-39b6-4c37-b394-5f03a1aabc0e
münchen,skoda,kombi,32.500,16.138,150,2022,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-ambition-dsg-app-led-acc-navi-shzgar-diesel-weiss-87d3fa1f-1c36-4862-9f0f-3c3cd12d3e51
münchen,skoda,kombi,32.750,11.951,150,2022,Diesel,Automatik,Händler,1,12 Monate,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-ambition-dsg-navi-shz-anschl-diesel-schwarz-5f110331-bf5d-4582-b73d-c326051eb1de
münchen,skoda,kombi,32.990,32.9,150,2020,Diesel,Automatik,Händler,2,nan,https://www.autoscout24.de/angebote/skoda-octavia-skoda-octavia-combi-2-0-tdi-dsg-cam-led-shz-uvm-diesel-grau-b8117fa3-2a05-4277-afa8-34987314c81d
münchen,skoda,kombi,34.980,19.59,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-combi-2-0-tdi-style-dsg-4j-gar-headup-diesel-schwarz-60963ce0-ee47-4561-b245-48f4aae1afd8
münchen,skoda,kombi,32.390,24.957,150,2022,Diesel,Automatik,Händler,1,nan,https://www.autoscout24.de/angebote/skoda-octavia-style-dsg-ahk-vorb-navi-dab-vze-led-smartlink-dig-diesel-weiss-ad6977b1-a397-428c-b8e6-c73699784b65
münchen,skoda,kombi,30.250,87.38,190,2020,Diesel,Automatik,Händler,1,Ja,https://www.autoscout24.de/angebote/skoda-superb-combi-2-0-tdi-l-k-ahk-dcc-navi-diesel-schwarz-d43a43c5-31d6-4815-a093-0b09648b1fd4
